Lp.;nazwa JST;wojewodztwo;powiat;typ JST*;nazwa urzędu JST;siedziba urzędu;;;;;nr telefonu;;;nr faksu;;dane wójta/burmistrza/prezydenta/starosty;;;adres mail'owy sekretarza gminy/powiatu;ogólny adres mail'owy gminy/powiatu;adres www jednostki
390;Biała;łódzkie;wieluński;GW;Urząd Gminy;Biała Druga;98-350;Biała Druga;Biała Druga;4 B;(43);841-90-90;;(43);841-90-18;Wójt;Sławomir Andrzej;Świgoń;h.stempien@biala.finn.pl;sekretariat@biala.gmina.pl;www.biala.gmina.pl
391;Białaczów;łódzkie;opoczyński;GW;Urząd Gminy;Białaczów;26-307;Białaczów;ul. Piotrkowska;12;(44);758-14-14;;(44);758-14-60;Wójt;Jan;Jóźwik;ugbialaczow@wp.pl;ugbialaczow@wp.pl;http://www.bialaczow.miasto.biz/portal.php
392;Bielawy;łódzkie;łowicki;GW;Urząd Gminy;Bielawy;99-423;Bielawy;ul. Garbarska;11;(46);838-26-95;;(46);838-26-95;Wójt;Sylwester;Kubiński;ugbielawy@lodz.home.pl;ugbielawy@lodz.home.pl;www.bielawy.bipst.pl
393;Bolesławiec;łódzkie;wieruszowski;GW;Urząd Gminy;Bolesławiec;98-430;Bolesławiec;ul. Rynek ;1;(62);783-60-83;;(62);783-60-24;Wójt;Leszek;Dominas;sekretarz@boleslawiec.net.pl;urzad@boleslawiec.net.pl;www.boleslawiec.net.pl
394;Bolimów;łódzkie;skierniewicki;GW;Urząd Gminy;Bolimów;99-417;Bolimów;ul. Łowicka;9;(46);838-03-05;;(46);838-03-86;Wójt;Stanisław;Linart;gminbol@poczta.onet.pl;gminbol@poczta.onet.pl;www.bolimow.pl
395;Brąszewice;łódzkie;sieradzki;GW;Urząd Gminy;Brąszewice;98-277;Brąszewice;ul. Starowiejska;1;(43);821-17-78;;(43);821-18-73;Wójt;Karol;Misiak;ug_braszewice@wp.pl;ug_braszewice@wp.pl;www.braszewice.bip.net.pl
396;Brójce;łódzkie;łódzki wschodni;GW;Urząd Gminy;Brójce;95-006;Brójce;Brójce;39;(42);214-03-98;;(42);299-69-59;Wójt;Sławomir;Gnosowski;urzadgminy@brojce.pl;urzadgminy@brojce.pl;www.brojce.pl
397;Brzeziny;łódzkie;brzeziński;GW;Urząd Gminy;Brzeziny;95-060;Brzeziny;ul. Sienkiewicza;16A;(46);874-36-99;;(46);874-36-99;Wójt;Barbara;Hojnacka;gminabrzeziny@post.pl;gminabrzeziny@post.pl;www.gminabrzeziny.pl
398;Brzeźnio;łódzkie;sieradzki;GW;Urząd Gminy;Brzeźnio;98-275;Brzeźnio;ul. Wspólna;44;(43);820-30-24;;(43);820-36-71;Wójt;Dorota Maria;Kubiak;mrybka@brzeznio.pl;gmina@brzeznio.pl;www.brzeznio.pl
399;Buczek;łódzkie;łaski;GW;Urząd Gminy;Buczek;98-113;Buczek;ul. Główna;20;(43);677-40-82;;(43);677-47-86;Wójt;Bronisław;Węglewski;sekretariat@buczek.org.pl;sekretariat@buczek.org.pl;www.buczek.org.pl
400;Budziszewice;łódzkie;tomaszowski;GW;Urząd Gminy;Budziszewice;97-212;Budziszewice;ul. J. Ch. Paska;66;(44);710-24-36;23;(44);710-24-36;Wójt;Marian;Holak;ug@budziszewice.net;ug@budziszewice.net;www.budziszewice.net
401;Burzenin;łódzkie;sieradzki;GW;Urząd Gminy;Burzenin;98-260;Burzenin;Sieradzka;1;(43);821-40-95;;(43);821-40-13;Wójt;Jarosław Grzegorz;Janiak;ugburzenin@home.pl;ugburzenin@home.pl;http://www.ugburzenin.home.pl/burzenin/index.php
402;Chąśno;łódzkie;łowicki;GW;Urząd Gminy;Chąśno;99-413;Chąśno;Chąśno;55;(46);838-14-23;;(46);838-13-64;Wójt;Dariusz;Reczulski;sekretarz@chasno.bipst.pl;gmina@chasno.bipst.pl;www.gminachasno.pl
403;Cielądz;łódzkie;rawski;GW;Urząd Gminy;Cielądz;96-214;Cielądz;Cielądz;;(46);815-24-29;;(46);815-23-52;Wójt;Paweł;Królak;ugcieladz@o2.pl;ugcieladz@o2.pl;http://www.cieladz.bipst.pl/
404;Czarnocin;łódzkie;piotrkowski;GW;Urząd Gminy;Czarnocin;97-318;Czarnocin;ul. Główna;142;(44);616-51-69;;(44);616-51-69;Wójt;Leon;Fortak;gminaczarnocin@poczta.onet.pl;gminaczarnocin@poczta.onet.pl;www.czarnocin.pl
405;Czarnożyły;łódzkie;wieluński;GW;Urząd Gminy;Czarnożyły;98-310;Czarnożyły;Czarnożyły;48;(43);841-68-04;;(43);841-62-81;Wójt;Tomasz;Luboiński;ug@bip.czarnozyly.akcessnet.net;ug_czarnozyly@wp.pl;www.czarnozyly.pl
406;Czastary;łódzkie;wieruszowski;GW;Urząd Gminy;Czastary;98-410;Czastary;ul. Wolności ;29;(62);784-31-12;;(62);784-31-91;Wójt;Paweł;Głowacki;sekretarz@czastary.pl;ug@czastary.pl;www.czastary.pl
407;Czerniewice;łódzkie;tomaszowski;GW;Urząd Gminy;Czerniewice;97-216;Czerniewice;ul. Mazowiecka;42;(44);710-45-00;;(44);710-40-10;Wójt;Edward;Pietrzyk;gmina@czerniewice.pl;gmina@czerniewice.pl;www.czerniewice.pl
408;Dalików;łódzkie;poddębicki;GW;Urząd Gminy;Dalików;99-205;Dalików;Plac Powstańców;1;(43);678-01-23;;(43);678-01-83;Wójt;Paweł;Szymczak;zstelmachowicz@op.pl;ugdalikow@wp.pl;www.gminadalikow.republika.pl
409;Daszyna;łódzkie;łęczycki;GW;Urząd Gminy;Daszyna;99-107;Daszyna;Daszyna;34A;(24);389-04-00;;(24);389-04-00;Wójt;Zbigniew ;Wojtera;sekretarz.daszyna@op.pl;urzadgminydaszyna@wp.pl;http://www.daszyna.bip.cc/
410;Dąbrowice;łódzkie;kutnowski;GW;Urząd Gminy;Dąbrowice;99-352;Dąbrowice;ul. Nowy Rynek;17;(24);252-25-91;;(24);252-25-87;Wójt;Władysław;Rosiak;ugdabrowice@plo.pl;ugdabrowice@plo.pl;www.dabrowice.pl
411;Dłutów;łódzkie;pabianicki;GW;Urząd Gminy;Dłutów;95-081;Dłutów;ul. Pabianicka;25;(44);634-02-18;;(44);634-05-21;Wójt;Grażyna;Maślanka-Olczyk;dlutow@zgwrp.org.pl;dlutow@zgwrp.org.pl;www.bip-dlutow.pl
412;Dmosin;łódzkie;brzeziński;GW;Urząd Gminy;Dmosin;95-061;Dmosin;Dmosin;9;(46);874-62-94;;(46);874-62-94;Wójt;Danuta;Supera;ugdmosin@poczta.fm;ugdmosin@poczta.fm;www.dmosin.com.pl
413;Dobroń;łódzkie;pabianicki;GW;Urząd Gminy;Dobroń;95-082;Dobroń;ul. 11 Listopada;9;(43);677-26-83;;(43);874-62-94;Wójt;Robert;Jarzębak;sekretarz@dobron.ug.gov.pl;sekretariat@dobron.ug.gov.pl;www.dobron.ug.gov.pl
414;Dobryszyce;łódzkie;radomszczański;GW;Urząd Gminy;Dobryszyce;97-505;Dobryszyce;ul. Wolności;8;(44);681-11-93;;(44);681-10-28;Wójt;Jan;Pawlikowski;wojt.dobryszyce.era@gminypolskie.pl;wojt.dobryszyce.era@gminypolskie.pl;www.dobryszyce.i-bip.pl
415;Domaniewice;łódzkie;łowicki;GW;Urząd Gminy;Domaniewice;99-434;Domaniewice;ul. Główna;2;(46);838-35-22;;(46);838-33-77;Wójt;Paweł;Kwiatkowski;ugdomaniewice@wp.pl;ugdomaniewice@wp.pl;www.domaniewice.pl
416;Drużbice;łódzkie;bełchatowski;GW;Urząd Gminy;Drużbice;97-403;Drużbice;Drużbice;77A;(44);631-10-78;28;(44);631-12-59;Wójt;Bożena;Zielińska;sekretariat@druzbice.pl;sekretariat@druzbice.pl;www.druzbice.pl
417;Galewice;łódzkie;wieruszowski;GW;Urząd Gminy;Galewice;98-405;Galewice;ul. Wieluńska;5;(62);783-80-76;;(62);783-86-25;Wójt;Lech Andrzej;Baliński;sekretarz@galewice.pl;sekretariat@galewice.pl;www.galewice.pl
418;Gidle;łódzkie;radomszczański;GW;Urząd Gminy;Gidle;97-540;Gidle;ul. Pławińska;22;(34);327-20-27;;(34);327-21-11;Wójt;Krystyna;Kubasiak;sekretarz@gidle.pl;ug@gidle.pl ;www.gidle.pl
419;Głowno;łódzkie;zgierski;GW;Urząd Gminy;Głowno;95-015;Głowno;ul. Jana Kilińskiego;2;(42);719-12-91;;(42);719-20-08;Wójt;Grzegorz;Janeczek;weronika.rozniata@gmina-glowno.pl;sekretariat@gmina-glowno.pl;www.gmina-glowno.pl
420;Głuchów;łódzkie;skierniewicki;GW;Urząd Gminy;Głuchów;96-130;Głuchów;Al. Klonowa;5;(46);815-75-30;;(46);815-70-58;Wójt;Andrzej;Kowara;lechkowara@poczta.onet.pl;urzad@gluchow.pl;www.gluchow.pl
421;Godzianów;łódzkie;skierniewicki;GW;Urząd Gminy;Godzianów;96-126;Godzianów;Godzianów;163 A;(46);831-11-40;;(46);834-90-73;Wójt;Zdzisław;Tuleja;gmina@godzianow.pl;gmina@godzianow.pl;www.godzianow.pl
422;Gomunice;łódzkie;radomszczański;GW;Urząd Gminy;Gomunice;97-545;Gomunice;ul. Armii Krajowej;30;(44);684-24-85;;(44);684-24-68;Wójt;Jerzy;Sewerynek;ug@gomunice.pl;ug@gomunice.pl;www.gomunice.pl
423;Gorzkowice;łódzkie;piotrkowski;GW;Urząd Gminy;Gorzkowice;97-350;Gorzkowice;ul. Szkolna;3;(44);681-80-06;;(44);681-80-69;Wójt;Alojzy;Włodarczyk;gmina@gorzkowice.pl;gmina@gorzkowice.pl;www.gorzkowice.pl
424;Goszczanów;łódzkie;sieradzki;GW;Urząd Gminy;Goszczanów;98-215;Goszczanów;ul. Kaliska;19;(43);829-70-51;;(43);829-82-45;Wójt;Krzysztof;Andrzejewski;sekretariat@goszczanow.bip.cc;sekretariat@goszczanow.bip.cc;www.goszczanow.bip.cc
425;Góra Świętej Małgorzaty;łódzkie;łęczycki;GW;Urząd Gminy;Góra Świętej Małgorzaty;99-122;Góra Świętej Małgorzaty;Góra Świętej Małgorzaty;44;(24);389-24-00;;(24);389-24-01;Wójt;Włodzimierz;Frankowski;sekretariat@goraswmalgorzaty.pl;sekretariat@goraswmalgorzaty.pl;www.goraswmalgorzaty.pl
426;Grabica;łódzkie;piotrkowski;GW;Urząd Gminy;Grabica;97-306;Grabica;Grabica;66;(44);616-11-88;;(44);616-11-88;Wójt;Edwarda;Wójcik;sekretarz@grabica.pl;urzadgminy@grabica.pl;www.gminagrabica.pl
427;Grabów;łódzkie;łęczycki;GW;Urząd Gminy;Grabów;99-150;Grabów;ul. 1 Maja;21;(63);273-41-21;;(63);219-10-52;Wójt;Ryszard Władysław;Kostrzewski;sekretarz@grabow.com.pl;grabow@grabow.com.pl;www.grabow.com.pl
428;Inowłódz;łódzkie;tomaszowski;GW;Urząd Gminy;Inowłódz;97-215;Inowłódz;ul. Spalska;2;(44);710-12-33;;(44);710-12-33;Wójt;Zenon;Chojancki;sekretarz@inowlodz.pl;gmina@inowlodz.pl;www.inowlodz.pl
429;Jeżów;łódzkie;brzeziński;GW;Urząd Gminy;Jeżów;95-047;Jeżów;ul. Kwiatowa;1;(46);875-53-71;;(46);875-53-69;Wójt;Tomasz;Piechota;sekretarz@jezow.pl;jezow@jezow.pl ;www.jezow.pl
430;Kiełczygłów;łódzkie;pajęczański;GW;Urząd Gminy;Kiełczygłów;98-358;Kiełczygłów;ul. Tysiąclecia;25;(43);842-50-22;;(43);842-50-22;Wójt;Kazimierz;Jędrzejewski;marekkula@kielczyglow.pl;kielczyglow.gm@hot.pl;www.kielczyglow.pl
431;Kiernozia;łódzkie;łowicki;GW;Urząd Gminy;Kiernozia;99-412;Kiernozia;ul. Sobocka;1a;(24);277-90-98;;(24);277-90-80;Wójt;Zenon;Kaźmierczak;urzadgminywkiernozi@xl.wp.pl ;urzadgminywkiernozi@xl.wp.pl ;www.kiernozia.gmina.pl
432;Kleszczów;łódzkie;bełchatowski;GW;Urząd Gminy;Kleszczów;97-410;Kleszczów;ul. Główna;47;(44);731-31-10;;(44);731-31-30;Wójt;Kazimiera;Tarkowska;sekretarz@kleszczow.pl;kleszczow@kleszczow.pl;www.kleszczow.pl
433;Klonowa;łódzkie;sieradzki;GW;Urząd Gminy;Klonowa;98-273;Klonowa;ul. Ks. Dalaka;2;(43);820-84-93;;(43);820-84-93;Wójt;Dariusz;Perdek;klonowa@klonowa.ug.gov.pl;klonowa@klonowa.ug.gov.pl;www.klonowa.ug.gov.pl
434;Kluki;łódzkie;bełchatowski;GW;Urząd Gminy;Kluki;97-415;Kluki;Kluki;88;(44);631-50-02;;(44);631-50-25;Wójt;Karol;Sikora;ug@kluki.pl;ug@kluki.pl;www.kluki.pl
435;Kobiele Wielkie;łódzkie;radomszczański;GW;Urząd Gminy;Kobiele Wielkie;97-524;Kobiele Wielkie;ul. Reymonta;79;(44);681-44-12;;(44);681-05-06;Wójt;Henryk;Więckowski;ug@bip.kobiele-wielkie.akcessnet.net;ug@bip.kobiele-wielkie.akcessnet.net;www.kobielewielkie.pl
436;Kocierzew Południowy;łódzkie;łowicki;GW;Urząd Gminy;Kocierzew Południowy;99-414;Kocierzew Południowy;Kocierzew Południowy;83;(46);838-48-25;;(46);839-40-43;Wójt;Grzegorz;Stefański;sekretarz@kocierzewpoludniowy.bipst.pl;sekretariat@kocierzewpoludniowy.bipst.pl  ;www.kocierzewpoludniowy.pl
437;Kodrąb;łódzkie;radomszczański;GW;Urząd Gminy;Kodrąb;97-512;Kodrąb;ul. 22 Lipca;7;(44);681-93-17;;(44);681-93-17;Wójt;Bożena;Krawczyk;sekret.2801@op.pl;ugkodrab@op.pl;www.kodrab.akcessnet.net
438;Konopnica;łódzkie;wieluński;GW;Urząd Gminy;Konopnica;98-313;Konopnica;ul. Rynek;15;(43);842-43-15;;(43);842-43-15;Wójt;Wacław;Szumigaj;sekretarz@konopnica.finn.pl;sekretariat@konopnica.eurzad.eu;www.konopnica.finn.pl
439;Kowiesy;łódzkie;skierniewicki;GW;Urząd Gminy;Kowiesy;96-111;Kowiesy;Kowiesy;85;(46);831-70-26;;(46);831-70-81;Wójt;Andrzej Józef;Luboiński;sekretarz@kowiesy.pl;urzad@kowiesy.pl;www.kowiesy.pl
440;Krzyżanów;łódzkie;kutnowski;GW;Urząd Gminy;Krzyżanów;99-314;Krzyżanów;Krzyżanów;10;(24);356-29-02;;(24);356-29-00;Wójt;Tomasz;Jakubowski;krzyzanow1@wp.pl;krzyzanow1@wp.pl;http://www.ugkrzyzanow.bip.org.pl/
441;Ksawerów;łódzkie;pabianicki;GW;Urząd Gminy;Ksawerów;95-054;Ksawerów;ul. Tadeusza Kościuszki;3h;(42);213-80-50;;(42);213-80-02;Wójt;Adam;Topolski;sekretariat@ksawerow.com;sekretariat@ksawerow.com;www.ksawerow.bip.cc
442;Kutno;łódzkie;kutnowski;GW;Urząd Gminy;Kutno;99-300;Kutno;ul. Wincentego Witosa ;1;(24);355-70-20;;(24);355-70-21;Wójt;Jerzy;Bryła;sekretariat@ugkutno.plocman.pl;sekretariat@ugkutno.plocman.pl;www.gminakutno.pl
443;Lgota Wielka;łódzkie;radomszczański;GW;Urząd Gminy;Lgota Wielka;97-565;Lgota Wielka;ul. Radomszczańska;60;(44);680-13-25;;(44);680-17-77;Wójt;Jerzy;Kotlewski;lgota.sekretarz@o2.pl;lgota@i-bip.pl;www.lgota.i-bip.pl
444;Lipce Reymontowskie;łódzkie;skierniewicki;GW;Urząd Gminy;Lipce Reymontowskie;96-127;Lipce Reymontowskie;ul. Reymonta;24;(46);831-61-97;;(46);831-62-68;Wójt;Jerzy Wojciech;Czerwiński;sekretarz@lipcereymontowskie.pl;sekretariat@lipcereymontowskie.pl;www.lipcereymontowskie.pl
445;Lubochnia;łódzkie;tomaszowski;GW;Urząd Gminy;Lubochnia;97-217;Lubochnia;ul. Tomaszowska;9;(44);710-30-10;;(44);710-30-93;Wójt;Tadeusz;Jóźwik;gmina@lubochnia.pl;gmina@lubochnia.pl;www.lubochnia.pl
446;Lutomiersk;łódzkie;pabianicki;GW;Urząd Gminy;Lutomiersk;95-083;Lutomiersk;Pl. Jana Pawła II;11;(43);677-50-11;;(43);677-50-94;Wójt;Tadeusz Zygmunt;Borkowski;sekretarz@lutomiersk.pl;ug@lutomiersk.pl;www.lutomiersk.pl
447;Lututów;łódzkie;wieruszowski;GW;Urząd Gminy;Lututów;98-360;Lututów;ul. Klonowska;8;(43);871-42-27;;(43);871-40-52;Wójt;Józef;Suwara;lututow@gminy.pl;lututow@gminy.pl;www.gminalututow.ntx.pl
448;Ładzice;łódzkie;radomszczański;GW;Urząd Gminy;Ładzice;97-561;Ładzice;ul. Wyzwolenia ;36;(44);684-08-20;;(44);684-08-22;Wójt;Wioletta;Pichit;danutaj@ladzice.com.pl;ladzice@ladzice.gminyrp.pl;www.ladzice.pl
449;Łanięta;łódzkie;kutnowski;GW;Urząd Gminy;Łanięta;99-306;Łanięta;Łanięta;16;(24);356-74-00;;(24);356-74-03;Wójt;Stanisław;Jędrzejczak;uglanieta@op.pl;uglanieta@op.pl;www.uglanieta.bip.org.pl
450;Łęczyca;łódzkie;łęczycki;GW;Urząd Gminy;Łęczyca;99-100;Łęczyca;ul. Marii Konopnickiej;14;(24);388-21-17;;(24);388-37-65;Wójt;Andrzej;Olszewski;sekretarz@gminaleczyca.pl;sekretariat@gminaleczyca.pl;www.ugleczyca.bip.cc
451;Łęki Szlacheckie;łódzkie;piotrkowski;GW;Urząd Gminy;Łęki Szlacheckie;97-352;Łęki Szlacheckie;Łęki Szlacheckie;13 D;(44);787-53-25;;(44);787-53-15;Wójt;Wojciech;Błaszczyk;sekretariat@lekiszlacheckie.pl;sekretariat@lekiszlacheckie.pl;www.lekiszlacheckie.i-bip.pl
452;Łowicz;łódzkie;łowicki;GW;Urząd Gminy;Łowicz;99-400;Łowicz;ul. Długa;12;(46);837-35-39;;(46);830-26-31;Wójt;Andrzej;Barylski;b.orzel@ug.lowicz.pl;sekretariat@ug.lowicz.pl;www.ug.lowicz.pl
453;Łubnice;łódzkie;wieruszowski;GW;Urząd Gminy;Łubnice;98-432;Łubnice;ul. Gen. Władysława Sikorskiego;102;(62);784-70-27;;(62);784-70-15;Wójt;Henryk;Ciosek;sekretarz@lubnice.akcessnet.net;uglubnice@home.pl;www.uglubnice.com.pl
454;Łyszkowice;łódzkie;łowicki;GW;Urząd Gminy;Łyszkowice;99-420;Łyszkowice;ul. Gminna;11;(46);838-87-78;;(46);838-89-67;Wójt;Włodzimierz Antoni;Traut;sekretarz@lekiszlacheckie.pl;sekretariat@lyszkowice.pl;www.lyszkowice.pl
455;Maków;łódzkie;skierniewicki;GW;Urząd Gminy;Maków;96-124;Maków;ul. Główna;12;(46);831-20-17;;(46);831-20-09;Wójt;Jerzy;Stankiewicz;makow@gminy.pl;makow@gminy.pl;www.gminamakow.info
456;Masłowice;łódzkie;radomszczański;GW;Urząd Gminy;Masłowice;97-515;Masłowice;Masłowice;4;(44);787-46-16;;(44);787-46-15;Wójt;Bogusław;Gontkowski;maslowice@zgwrp.org.pl;maslowice@zgwrp.org.pl;www.maslowice.gmina.org.pl
457;Mniszków;łódzkie;opoczyński;GW;Urząd Gminy;Mniszków;26-341;Mniszków;ul. Powstańców Wielkopolskich;10;(44);756-15-22;;(44);756-15-23;Wójt;Janusz;Ciesielski;mniszkow@mniszkow.pl;mniszkow@mniszkow.pl;www.mniszkow.pl
458;Mokrsko;łódzkie;wieluński;GW;Urząd Gminy;Mokrsko;98-345;Mokrsko;Mokrsko;231;(43);886-32-77;;(43);886-32-77;Wójt;Tomasz Bernard;Kącki;sekretarz@mokrsko.akcessnet.net;urzad@mokrsko.pl;www.mokrsko.pl
459;Moszczenica;łódzkie;piotrkowski;GW;Urząd Gminy;Moszczenica;97-310;Moszczenica;ul. Kosowska;1;(44);616-96-25;;(44);616-96-87;Wójt;Marceli;Piekarek;ug@moszczenica.pl;ug@moszczenica.pl;www.moszczenica.pl
460;Nieborów;łódzkie;łowicki;GW;Urząd Gminy;Nieborów;99-416;Nieborów;Al. Legionów Polskich;26;(46);838-56-65;;(46);838-56-58;Wójt;Andrzej;Werle;a.janiak@nieborow.pl;gmina@nieborow.pl;www.nieborow.pl
461;Nowa Brzeźnica;łódzkie;pajęczański;GW;Urząd Gminy;Nowa Brzeźnica;98-331;Nowa Brzeźnica;ul. Kościuszki;103;(34);311-96-77;;(34);346-11-20;Wójt;Jacek Stefan;Jarząbek;sekretarz@nowabrzeznica.pl;urzad@nowabrzeznica.pl;www.nowabrzeznica.pl
462;Nowe Ostrowy;łódzkie;kutnowski;GW;Urząd Gminy;Nowe Ostrowy;99-350;Nowe Ostrowy;Nowe Ostrowy;80;(24);356-14-00;;(24);356-14-00;Wójt;Zdzisław;Kostrzewa;sekretarz@noweostrowy.pl;sekretariat@noweostrowy.pl;www.noweostrowy.pl
463;Nowosolna;łódzkie;łódzki wschodni;GW;Urząd Gminy;Łódź;92-703;Nowosolna;Rynek Nowosolny;1;(42);648-41-08;;(42);648-41-19;Wójt;Tomasz;Bystroński;urzad@nowosolna.gminarp.pl;urzad@nowosolna.gminarp.pl;www.nowosolna.gminarp.pl
464;Nowy Kawęczyn;łódzkie;skierniewicki;GW;Urząd Gminy;Nowy Kawęczyn;96-115;Nowy Kawęczyn;Nowy Kawęczyn;32;(46);831-42-89;;(46);831-42-89;Wójt;Włodzimierz;Ciok;ugnowyk@o2.pl;ugnowyk@o2.pl;http://ugkaweczyn.bip2nd.maxus.com.pl/public/
465;Oporów;łódzkie;kutnowski;GW;Urząd Gminy;Oporów;99-322;Oporów;Oporów;25;(24);383-11-50;;(24);383-11-51;Wójt;Robert Zbigniew;Pawlikowski;gmina@oporow.pl;gmina@oporow.pl;www.oporow.pl
466;Osjaków;łódzkie;wieluński;GW;Urząd Gminy;Osjaków;98-320;Osjaków;ul. Targowa;26;(43);824-33-91;;(43);824-33-91;Wójt;Jarosław;Trojan;sekretariat@osjakow.bip.net.pl;sekretariat@osjakow.bip.net.pl;www.osjakow.bip.net.pl
467;Ostrówek;łódzkie;wieluński;GW;Urząd Gminy;Ostrówek;98-311;Ostrówek;Ostrówek;115;(43);841-50-26;;(43);841-50-26;Wójt;Ryszard;Turek;ug_ostrowek@interia.pl;ug_ostrowek@interia.pl;www.ostrowek.lubelskie.pl
468;Ozorków;łódzkie;zgierski;GW;Urząd Gminy;Ozorków;95-035;Ozorków;ul. Pilota Stanisława Wigury ;14;(42);277-14-44;;(42);277-14-49;Wójt;Jacek;Socha;lewandowski@ug-ozorkow.pl;gmina@ug-ozorkow.pl;www.ug-ozorkow.pl
469;Pabianice;łódzkie;pabianicki;GW;Urząd Gminy;Pabianice;95-200;Pabianice;ul. Torowa;21;(42);213-95-62;;(42);213-96-60;Wójt;Henryk;Gajda;sekretarz@pabianice.gmina.pl;gmina@pabianice.gmina.pl;www.pabianice.gmina.pl
470;Paradyż;łódzkie;opoczyński;GW;Urząd Gminy;Paradyż;26-333;Paradyż;ul. Konecka;4;(44);758-40-28;;(44);75-80-24;Wójt;Wojciech Bogdan;Rudalski;sekretarz@paradyz.tensoft.pl;ugp@go2.pl;www.gminaparadyz.com
471;Parzęczew;łódzkie;zgierski;GW;Urząd Gminy;Parzęczew;95-045;Parzęczew;ul. Południowa;1;(42);728-60-95;;(42);718-60-66;Wójt;Ryszard;Nowakowski;sekretarz-ugp@parzeczew.pl;parzeczew@parzeczew.pl;www.parzeczew.pl
472;Pątnów;łódzkie;wieluński;GW;Urząd Gminy;Pątnów;98-335;Pątnów;Pątnów;48;(43);886-52-00;;(43);886-52-50;Wójt;Edward;Kiedos;gmina@patnow.pl;gmina@patnow.pl;www.patnow.pl
473;Pęczniew;łódzkie;poddębicki;GW;Urząd Gminy;Pęczniew;99-235;Pęczniew;ul. Główna;10/12;(43);678-15-19;21;(43);678-15-19;Wójt;Marcin;Janiak;ug_peczniew@wp.pl;ug_peczniew@wp.pl;www.bip.e-peczniew.pl
474;Piątek;łódzkie;łęczycki;GW;Urząd Gminy;Piątek;99-120;Piątek;ul. Rynek;16;(24);722-11-58;;(24);722-19-09;Wójt;Krzysztof Marian;Lisiecki;sekretarz@ugpiatek.pl;ugpiatek@ugpiatek.pl;http://gminapiatek.home.pl/
475;Poświętne;łódzkie;opoczyński;GW;Urząd Gminy;Poświętne;26-315;Poświętne;ul. Akacjowa;4;(44);756-40-34;;(44);756-40-24;Wójt;Mieczysław Henryk;Stępień;sekretarz@poswietne.pl;poswietne@poswietne.pl;www.poswietne.pl
476;Radomsko;łódzkie;radomszczański;GW;Urząd Gminy;Radomsko;97-500;Radomsko;ul. Piłsudskiego;34;(44);683-27-07;;(44);685-13-60;Wójt;Marian;Zaborowski;eborkowska@gmina-radomsko.pl;sekretariat@gmina-radomsko.pl ;http://bip.gmina-radomsko.pl/
477;Rawa Mazowiecka;łódzkie;rawski;GW;Urząd Gminy;Rawa Mazowiecka;96-200;Rawa Mazowiecka;Al. Konstytucji 3 Maja;32;(46);814-42-41;;(46);814-42-41 wew. 210;Wójt;Krzysztof;Starczewski;anna.jakubiak@rawam.ug.gov.pl;lidia.stawinska@rawam.ug.gov.pl;http://www.rawam.ug.gov.pl/
478;Regnów;łódzkie;rawski;GW;Urząd Gminy;Regnów;96-232;Regnów;Regnów;95;(46);813-16-23;;(46);813-16-25;Wójt;Tomasz Zenon;Wojdalski;sekretarz@ugregnow.pl;ugregnow@pro.onet.pl;www.ugregnow.pl
479;Ręczno;łódzkie;piotrkowski;GW;Urząd Gminy;Ręczno;97-510;Ręczno;ul. Piotrkowska;5;(44);781-32-21;;(44);781-32-69;Wójt;Piotr;Łysoń;sekretarz@reczno.pl;ug@reczno.pl;www.reczno.pl
480;Rogów;łódzkie;brzeziński;GW;Urząd Gminy;Rogów;95-063;Rogów;ul. Żeromskiego;23;(46);874-80-70;;(46);874-80-86;Wójt;Daniel;Kołada;sekretarz@rogow.eu;sekretariat@rogow.eu;www.rogow.eu
481;Rokiciny;łódzkie;tomaszowski;GW;Urząd Gminy;Rokiciny;97-221;Rokiciny;ul. Tomaszowska;9;(44);719-50-10;20;(44);719-50-12;Wójt;Barbara;Robak;ug@rokiciny.net;ug@rokiciny.net;www.rokiciny.net
482;Rozprza;łódzkie;piotrkowski;GW;Urząd Gminy;Rozprza;97-340;Rozprza;Al. 900-Lecia;3;(44);615-80-54;11;(44);615-80-06 wew. 30;Wójt;Janusz;Jędrzejczyk;wojt@rozprza.pl;wojt@rozprza.pl;www.rozprza.pl
483;Rusiec;łódzkie;bełchatowski;GW;Urząd Gminy;Rusiec;97-438;Rusiec;ul. Wieluńska;35;(43);676-60-11;;(43);676-62-90;Wójt;Dariusz Paweł;Woźniak;rusiec@gminy.pl;rusiec@gminy.pl;www.rusiec.pl
484;Rząśnia;łódzkie;pajęczański;GW;Urząd Gminy;Rząśnia;98-332;Rząśnia;ul. Kościuszki;16;(44);631-71-22;;(44);631-71-29;Wójt;Tomasz;Stolarczyk;gmina@rzasnia.pl;gmina@rzasnia.pl;www.rzasnia.pl
485;Rzeczyca;łódzkie;tomaszowski;GW;Urząd Gminy;Rzeczyca;97-220;Rzeczyca;ul. Tomaszowska;2;(44);710-61-76;;(44);710-52-20;Wójt;Marek;Kaźmierczyk;ug@rzeczyca.pl;ug@rzeczyca.pl;www.rzeczyca.pl
486;Sadkowice;łódzkie;rawski;GW;Urząd Gminy;Sadkowice;96-206;Sadkowice;Sadkowice;129 A;(46);815-61-67;;(46);815-61-91;Wójt;Leszek;Jankowski;sekretarz@gminasadkowice.pl;ug@gminasadkowice.pl;www.gminasadkowice.pl
